ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ภาคกลาง,ปราจีนบุรี,ระดับอุดมศึกษา,สายวิชาชีพ,42763.0175
ภาคกลาง,ปราจีนบุรี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,6560.2425
ภาคกลาง,ปราจีนบุรี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,ปราจีนบุรี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,202.6925
ภาคกลาง,นครนายก,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,246784.5
ภาคกลาง,นครนายก,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,5058.94
ภาคกลาง,นครนายก,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,56293.29
ภาคกลาง,นครนายก,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,45146.5375
ภาคกลาง,นครนายก,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,48028.5225
ภาคกลาง,นครนายก,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,33274.5225
ภาคกลาง,นครนายก,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,11657.6525
ภาคกลาง,นครนายก,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,0
ภาคกลาง,นครนายก,ระดับอุดมศึกษา,สายวิชาการ,23355.3425
